condition,label,fold,n_test,n_pos_test,auprc,auroc,macro_f1,bal_acc,mcc
1,Seq only,0,256,34,0.16286187076413927,0.555776364599894,0.3233480176211454,0.5401430842607313,0.06325687732824288
1,Seq only,1,256,42,0.19180200512091278,0.529595015576324,0.44023635058670363,0.5312639074321317,0.0464841027715133
1,Seq only,2,256,34,0.1524406389770272,0.5025172231054584,0.339874213836478,0.5060943296237415,0.008986996635446512
1,Seq only,3,256,36,0.1896561303198097,0.5805555555555556,0.34709019244145606,0.5669191919191919,0.10689808187650189
1,Seq only,4,255,42,0.29896942754864225,0.7253521126760564,0.4608879492600423,0.6495640509725017,0.23338454358138447
2,Seq + BP,0,256,34,0.15878139485697393,0.5434552199258081,0.3286886899312613,0.5321939586645469,0.04971094511074169
2,Seq + BP,1,256,42,0.19742491141696733,0.5447263017356475,0.39949850359944994,0.4985536270583,-0.002184627963305101
2,Seq + BP,2,256,34,0.14501164772769426,0.5099364069952305,0.3528349584687613,0.5377583465818759,0.055883941820933224
2,Seq + BP,3,256,36,0.19142084900179596,0.57739898989899,0.35952557449962935,0.5969696969696969,0.1556997888323046
2,Seq + BP,4,255,42,0.2531994522124956,0.6733735747820255,0.43333333333333335,0.6044600938967136,0.1634483675091339
3,Seq + MF,0,256,34,0.17597042774141586,0.5618706942236354,0.33196644920782853,0.5344462109167991,0.052936352904345875
3,Seq + MF,1,256,42,0.19485390499565536,0.539274588340009,0.43717662616745184,0.5361593235425011,0.05393548449519467
3,Seq + MF,2,256,34,0.15274199687735207,0.5347111817700053,0.34015465125361244,0.5287493375728669,0.04322020364294903
3,Seq + MF,3,256,36,0.19596795081473112,0.5921717171717172,0.35161848282678526,0.5808080808080808,0.1297498240269205
3,Seq + MF,4,255,42,0.2781491715913516,0.7051196065280573,0.43783068783068785,0.6331321260898726,0.21213394897952134
4,Seq + CC,0,256,34,0.1481720230973657,0.5045045045045046,0.3207441773860692,0.5152358240593534,0.02352575591660615
4,Seq + CC,1,256,42,0.19969570135638864,0.5487316421895861,0.4516906990471372,0.5406097018246551,0.06024649126770939
4,Seq + CC,2,256,34,0.1531194227962095,0.5389507154213037,0.35293016289084445,0.5604133545310016,0.09120186783338004
4,Seq + CC,3,256,36,0.18017134673673013,0.584469696969697,0.35952557449962935,0.5969696969696969,0.1556997888323046
4,Seq + CC,4,255,42,0.2895692829986539,0.7060138609434384,0.4278115143812079,0.6260898725687458,0.20299751142408282
5,Seq + BP + MF,0,256,34,0.16929516565559757,0.5468998410174881,0.30952380952380953,0.49602543720190784,-0.006167178752204929
5,Seq + BP + MF,1,256,42,0.19305582349182288,0.5294837561192702,0.4173758163467247,0.5053404539385847,0.007973508174084966
5,Seq + BP + MF,2,256,34,0.15916935428479803,0.5417329093799683,0.34165464467164275,0.5185479597244304,0.027554912540119568
5,Seq + BP + MF,3,256,36,0.20036942623444975,0.5845959595959596,0.34709019244145606,0.5669191919191919,0.10689808187650189
5,Seq + BP + MF,4,255,42,0.2919074298122437,0.6977420076011626,0.4425221371164342,0.6450368879946344,0.23187765380724765
6,Seq + BP + CC,0,256,34,0.17575533478834976,0.5302066772655007,0.2996058428008347,0.48926868044515104,-0.01691025433527285
6,Seq + BP + CC,1,256,42,0.20354964577325768,0.5376056964842012,0.43736263736263736,0.5289274588340009,0.043040647808249254
6,Seq + BP + CC,2,256,34,0.15509663910495075,0.5356385797562269,0.3513513513513513,0.5479597244303127,0.07180770828224227
6,Seq + BP + CC,3,256,36,0.20787901299023054,0.6079545454545454,0.3696631823461092,0.6037878787878788,0.16416135153259748
6,Seq + BP + CC,4,255,42,0.2847905423098713,0.706460988151129,0.45105736355578063,0.6425217974513749,0.22428065200812833
7,Seq + MF + CC,0,256,34,0.14282071968456117,0.521727609962904,0.3062330623306233,0.49377318494965555,-0.009710431878687009
7,Seq + MF + CC,1,256,42,0.19865807070815236,0.5540720961281709,0.44023635058670363,0.5312639074321317,0.0464841027715133
7,Seq + MF + CC,2,256,34,0.14739305912273853,0.5329888712241654,0.34165464467164275,0.5185479597244304,0.027554912540119568
7,Seq + MF + CC,3,256,36,0.19412215386552953,0.5815656565656566,0.37689571241340575,0.5873737373737374,0.13400529078143877
7,Seq + MF + CC,4,255,42,0.28279313044808374,0.7132796780684104,0.41543859649122805,0.6262575452716298,0.20807025092810094
8,Seq + BP + MF + CC,0,256,34,0.1504492128331491,0.5320614732379438,0.3336260427773945,0.5015898251192369,0.002361849646295963
8,Seq + BP + MF + CC,1,256,42,0.19538410656168897,0.5255896751223854,0.42001576044129235,0.5149087672452158,0.022306451668007765
8,Seq + BP + MF + CC,2,256,34,0.15143456308532224,0.5279544250132486,0.342979956228055,0.5083465818759937,0.012264629142160649
8,Seq + BP + MF + CC,3,256,36,0.18395353580972362,0.5845959595959596,0.3403181755057324,0.5623737373737374,0.10068051411471622
8,Seq + BP + MF + CC,4,255,42,0.27345455694671217,0.6990833892242344,0.44467405299718643,0.6210596914822266,0.1889054265311206
