condition,label,fold,auprc,auroc
1,Seq only,0,0.13746138708067976,0.45775462962962965
1,Seq only,1,0.202671211856691,0.548987634189428
1,Seq only,2,0.17086034686701557,0.5357275083302482
1,Seq only,3,0.15774910269409265,0.51770949031223
1,Seq only,4,0.18189227580852316,0.4929336676544336
2,Seq + BP,0,0.14523343610398007,0.4868055555555556
2,Seq + BP,1,0.23268979894675718,0.5845902975947819
2,Seq + BP,2,0.15684205381266314,0.5300505985437494
2,Seq + BP,3,0.17872421202569017,0.5091941256324818
2,Seq + BP,4,0.185414669337558,0.5121951219512195
3,Seq + MF,0,0.1535237059406659,0.4981481481481482
3,Seq + MF,1,0.19311935894166482,0.5684196222312814
3,Seq + MF,2,0.17999463189624204,0.5169690238183389
3,Seq + MF,3,0.15978976057028316,0.5179563124768605
3,Seq + MF,4,0.18288055011017287,0.5117392295418282
4,Seq + CC,0,0.13820104302400266,0.4613425925925926
4,Seq + CC,1,0.21251099008211138,0.5701861665987227
4,Seq + CC,2,0.1502081545677241,0.4942613846723436
4,Seq + CC,3,0.1703082421287307,0.4978403060594841
4,Seq + CC,4,0.17200384894901644,0.46774561203555964
5,Seq + BP + MF,0,0.14987048148573623,0.5034722222222223
5,Seq + BP + MF,1,0.19127897859520387,0.5440956651718983
5,Seq + BP + MF,2,0.13345101634266066,0.47180056769097867
5,Seq + BP + MF,3,0.14708024790745858,0.5036406269282983
5,Seq + BP + MF,4,0.15775096498651547,0.4700250740825166
6,Seq + BP + CC,0,0.15254189390283662,0.5016203703703703
6,Seq + BP + CC,1,0.19622456459217782,0.5695067264573991
6,Seq + BP + CC,2,0.15488617928621193,0.5325188201900533
6,Seq + BP + CC,3,0.1621366886593802,0.49858077255337535
6,Seq + BP + CC,4,0.17012385136430738,0.4875769318440848
7,Seq + MF + CC,0,0.14476312089045784,0.4833333333333334
7,Seq + MF + CC,1,0.19585704691977301,0.5398831362956923
7,Seq + MF + CC,2,0.1686086145408751,0.5183265457238061
7,Seq + MF + CC,3,0.17015674963814725,0.5210415895347402
7,Seq + MF + CC,4,0.17510366738316063,0.5064964668338272
8,Seq + BP + MF + CC,0,0.15394729850713076,0.49953703703703706
8,Seq + BP + MF + CC,1,0.22277167617684585,0.553607827150428
8,Seq + BP + MF + CC,2,0.17992175150750508,0.5418980624460077
8,Seq + BP + MF + CC,3,0.15375288708547802,0.4962359619893867
8,Seq + BP + MF + CC,4,0.18937299346611294,0.4676316389332118
