condition,label,fold,auprc,auroc,macro_f1,bal_acc,mcc
1,Seq only (ProstT5),0,0.20774259690523983,0.6935612082670907,0.45833333333333337,0.6698463169051404,0.2371704042217229
1,Seq only (ProstT5),1,0.24328590978633896,0.6568758344459279,0.4678269277254049,0.6220516243880729,0.18496031458031634
1,Seq only (ProstT5),2,0.18398173095269926,0.5722045574986752,0.4032046230627791,0.543190249072602,0.05987854015921515
1,Seq only (ProstT5),3,0.26997204705419425,0.6482323232323232,0.4338461538461539,0.6282828282828283,0.185885397777592
1,Seq only (ProstT5),4,0.3094117177685137,0.6695729935166556,0.4715460526315789,0.6086519114688129,0.16332740696542183
8,Seq + all GO (ProstT5),0,0.20161308428427804,0.6793852676205617,0.4650431921020156,0.6641494435612083,0.2272066448494786
8,Seq + all GO (ProstT5),1,0.24450887195356386,0.674454828660436,0.4854438176749011,0.6433021806853583,0.21611049753874215
8,Seq + all GO (ProstT5),2,0.17177774147394317,0.571939586645469,0.4058188950637463,0.5556438791732909,0.0774107082846013
8,Seq + all GO (ProstT5),3,0.2547638588919737,0.6311868686868687,0.4245540198000861,0.6214646464646465,0.1773328680211317
8,Seq + all GO (ProstT5),4,0.30569707808210167,0.6823161189358373,0.4807205178722207,0.6156941649899397,0.17329081922807302
