condition,label,fold,auprc,auroc
1,Seq only,0,0.13688923482597276,0.512471272137353
1,Seq only,1,0.11155209051634905,0.48985405720957387
1,Seq only,2,0.1141951800329766,0.4857443082311734
1,Seq only,3,0.15018662229074992,0.5040490033222591
1,Seq only,4,0.12166251737708275,0.5606072809278351
2,Seq + BP,0,0.13087669032876986,0.4866049299265468
2,Seq + BP,1,0.10952308274884018,0.49039112667834206
2,Seq + BP,2,0.11062336378337574,0.46442498540572097
2,Seq + BP,3,0.1580396565945357,0.5119393687707641
2,Seq + BP,4,0.1273781781836844,0.5811989905498282
3,Seq + MF,0,0.1368780345868378,0.5017462034157992
3,Seq + MF,1,0.10803695298533329,0.46036193812025683
3,Seq + MF,2,0.11397338639170188,0.48065382370110915
3,Seq + MF,3,0.1354219823993118,0.47774086378737546
3,Seq + MF,4,0.10802324095757505,0.5134369630584192
4,Seq + CC,0,0.16073772078448612,0.5159411473119733
4,Seq + CC,1,0.11192951345905425,0.4803035610040864
4,Seq + CC,2,0.10515186709829381,0.46409807355516636
4,Seq + CC,3,0.14888366788544688,0.5118563122923587
4,Seq + CC,4,0.11593615963177484,0.5421364905498282
5,Seq + BP + MF,0,0.1263774262471058,0.47105808661168946
5,Seq + BP + MF,1,0.10929551736348511,0.4702626970227671
5,Seq + BP + MF,2,0.12338044400302234,0.5110332749562172
5,Seq + BP + MF,3,0.1366188362019129,0.49206810631229236
5,Seq + BP + MF,4,0.10568194093998609,0.5230213702749141
6,Seq + BP + CC,0,0.13520109535827518,0.4683317561173449
6,Seq + BP + CC,1,0.11465083395137364,0.4983771161704612
6,Seq + BP + CC,2,0.11731921772227602,0.48448336252189145
6,Seq + BP + CC,3,0.13793713568544957,0.48666943521594686
6,Seq + BP + CC,4,0.11047324636741146,0.5348340850515464
7,Seq + MF + CC,0,0.1280115265544251,0.49764544184579335
7,Seq + MF + CC,1,0.10945658504071815,0.48025685931115003
7,Seq + MF + CC,2,0.11142182687169075,0.4840980735551663
7,Seq + MF + CC,3,0.13462873621717092,0.48367940199335535
7,Seq + MF + CC,4,0.11285416166547399,0.5253033719931272
8,Seq + BP + MF + CC,0,0.13057641140376325,0.4727704925420216
8,Seq + BP + MF + CC,1,0.1108873178893156,0.49536485697606536
8,Seq + BP + MF + CC,2,0.12960419184852592,0.5178283712784588
8,Seq + BP + MF + CC,3,0.14142054540768048,0.4965116279069767
8,Seq + BP + MF + CC,4,0.10927908605008702,0.5262967139175257
