acc,d2o,length,n_go_exp,cluster,n_dis_regions,total_dis_len
A0A090N8E9,0,751,0,312,1.0,17.0
A0A0C4DGY3,0,505,0,559,1.0,103.0
A0A1B0GTR3,0,108,0,1132,1.0,108.0
A0A5F9ZHA1,0,1849,0,4,6.0,147.0
A4D126,0,451,8,640,1.0,16.0
A5YKK6,0,2376,75,23,2.0,296.0
A6ND01,0,250,9,917,2.0,24.0
A6NF83,0,97,6,1148,3.0,291.0
A6NI73,0,299,19,856,2.0,22.0
A8K2U0,0,1454,4,74,2.0,66.0
A8MTZ0,0,92,11,1151,2.0,37.0
O00189,0,453,27,637,3.0,57.0
O00204,0,365,45,775,3.0,36.0
O00214,0,317,38,829,1.0,22.0
O00268,0,1085,31,146,3.0,1293.0
O00273,1,331,20,816,2.0,200.0
O00299,0,241,42,915,2.0,32.0
O00308,0,870,125,233,1.0,41.0
O00410,0,1097,24,143,2.0,35.0
O00411,0,1230,28,116,8.0,431.0
O00418,0,725,5,335,1.0,36.0
O00429,0,736,124,326,3.0,129.0
O00488,0,134,9,1092,3.0,116.0
O00499,1,593,68,451,3.0,107.0
O00522,0,736,32,327,1.0,11.0
O00548,0,723,38,339,1.0,109.0
O00571,0,662,178,338,1.0,167.0
O00584,0,256,13,912,1.0,20.0
O00585,0,134,50,1093,1.0,41.0
O14497,0,2285,36,25,2.0,1504.0
O14519,0,115,27,1119,1.0,60.0
O14558,1,160,10,1045,4.0,155.0
O14672,1,748,122,314,2.0,104.0
O14678,0,606,29,436,2.0,38.0
O14686,0,5537,24,1,1.0,71.0
O14713,0,200,60,1005,2.0,22.0
O14727,0,1248,23,112,3.0,308.0
O14733,0,419,27,691,1.0,71.0
O14745,1,358,131,787,4.0,468.0
O14746,0,1132,123,132,2.0,168.0
O14775,0,395,20,735,1.0,56.0
O14776,1,1098,14,142,1.0,11.0
O14810,0,134,2,1094,1.0,10.0
O14832,0,338,43,808,3.0,39.0
O14907,0,124,52,1110,2.0,22.0
O14936,0,926,87,201,5.0,194.0
O14958,1,399,22,731,1.0,29.0
O14965,0,403,93,726,4.0,58.0
O14974,0,1030,30,168,1.0,40.0
O14977,0,448,9,625,2.0,33.0
O15054,0,1643,6,56,4.0,115.0
O15118,0,1278,46,104,9.0,235.0
O15151,0,490,82,587,3.0,360.0
O15169,0,862,184,239,4.0,824.0
O15234,0,703,65,350,8.0,841.0
O15247,0,247,10,915,1.0,14.0
O15273,0,167,90,1054,2.0,154.0
O15294,0,1046,115,160,3.0,107.0
O15344,0,667,74,379,1.0,30.0
O15350,0,636,85,408,1.0,16.0
O15391,0,372,7,707,4.0,1131.0
O15392,0,142,145,1082,2.0,109.0
O15431,1,190,36,1026,1.0,52.0
O15550,0,1401,15,85,2.0,57.0
O43172,1,522,30,530,5.0,569.0
O43236,0,996,31,174,5.0,411.0
O43312,0,755,6,308,1.0,15.0
O43313,0,823,4,266,1.0,462.0
O43318,0,606,116,437,2.0,28.0
O43353,0,540,83,509,3.0,62.0
O43464,0,458,153,601,4.0,56.0
O43474,0,513,50,546,1.0,130.0
O43516,1,503,46,564,5.0,458.0
O43521,1,198,99,1010,7.0,352.0
O43561,0,262,102,905,1.0,204.0
O43663,0,620,34,422,2.0,190.0
O43665,0,181,11,1035,3.0,52.0
