acc,d2o
A0A090N8E9,0
A0A0C4DGY3,0
A0A1B0GTR3,0
A0A5F9ZHA1,0
A4D126,0
A5YKK6,0
A6ND01,0
A6NF83,0
A6NI73,0
A8K2U0,0
A8MTZ0,0
O00189,0
O00204,0
O00214,0
O00268,0
O00273,1
O00299,0
O00308,0
O00410,0
O00411,0
O00418,0
O00429,0
O00488,0
O00499,1
O00522,0
O00548,0
O00571,0
O00584,0
O00585,0
O14497,0
O14519,0
O14558,1
O14672,1
O14678,0
O14686,0
O14713,0
O14727,0
O14733,0
O14745,1
O14746,0
O14775,0
O14776,1
O14810,0
O14832,0
O14907,0
O14936,0
O14958,1
O14965,0
O14974,0
O14977,0
O15054,0
O15118,0
O15151,0
O15169,0
O15234,0
O15247,0
O15273,0
O15294,0
O15344,0
O15350,0
O15391,0
O15392,0
O15431,1
O15550,0
O43172,1
O43236,0
O43312,0
O43313,0
O43318,0
O43353,0
O43464,0
O43474,0
O43516,1
O43521,1
O43561,0
O43663,0
O43665,0
O43715,0
O43747,0
O43776,0
O43791,0
O43806,1
O60232,0
O60239,0
O60260,0
O60356,0
O60486,0
O60493,0
O60502,0
O60508,0
O60566,0
O60568,1
O60701,0
O60706,0
O60741,0
O60825,0
O60828,1
O60829,1
O60832,0
O60880,0
O60885,0
O60888,0
O60927,0
O60934,0
O75056,0
O75112,0
O75151,0
O75223,0
O75324,0
O75469,0
O75475,0
O75496,0
O75506,0
O75533,0
O75554,0
O75683,0
O75807,0
O75817,0
O75928,0
O75936,0
O75962,0
O75970,0
O76070,0
O76074,0
O94829,0
O94885,0
O94907,0
O94925,0
O94986,0
O95071,0
O95147,0
O95149,0
O95155,0
O95197,0
O95278,0
O95292,0
O95391,0
O95400,0
O95405,0
O95429,0
O95433,0
O95470,0
O95630,0
O95644,0
O95696,0
O95714,0
O95718,0
O95822,0
O95831,0
O95835,0
O95843,0
O95997,1
O96013,0
O96017,0
O96018,0
O96019,0
O96028,0
P00439,0
P00441,1
P00488,0
P00492,0
P00519,1
P00533,0
P00734,0
P00736,1
P00740,1
P00742,1
P00749,0
P01009,0
P01019,0
P01023,0
P01034,0
P01042,0
P01100,0
P01106,0
P01111,0
P01112,0
P01116,0
P01127,1
P01130,0
P01137,0
P01160,0
P01215,0
P01266,0
P01730,1
P01732,0
P02489,0
P02511,0
P02533,0
P02545,0
P02549,0
P02647,1
P02649,0
P02655,0
P02671,0
P02686,1
P02730,0
P02760,0
P02774,0
P02788,0
P02808,0
P03372,1
P03956,0
P04004,1
P04035,0
P04049,0
P04083,1
P04150,0
P04156,1
P04183,0
P04198,0
P04234,0
P04271,0
P04275,0
P04554,1
P04626,0
P04637,1
P04792,0
P04818,0
P04908,0
P05019,0
P05067,1
P05106,0
P05107,1
P05114,0
P05121,0
P05231,0
P05386,0
P05387,0
P05451,0
P05452,0
P05455,0
P05546,0
P05556,1
P06132,0
P06239,0
P06400,1
P06401,1
P06454,1
P06702,0
P06730,0
P06734,0
P06748,0
P06756,0
P06899,0
P07196,0
P07197,0
P07199,0
P07237,0
P07305,0
P07355,1
P07550,0
P07766,0
P07814,0
P07902,0
P07948,0
P08047,0
P08235,0
P08240,0
P08253,0
P08263,1
P08294,0
P08476,0
P08514,0
P08572,1
P08581,0
P08621,0
P08631,0
P08670,0
P09012,0
P09038,0
P09132,0
P09237,1
P09327,0
P09429,0
P09651,1
P09693,0
P09919,0
P0CF51,1
P0DJI8,0
P0DMM9,0
P0DMV9,0
P0DN86,0
P0DP23,0
P10071,0
P10163,0
P10275,1
P10415,0
P10451,0
P10619,0
P10636,0
P10721,0
P10912,0
P10997,1
P11021,0
P11166,0
P11171,0
P11233,0
P11274,0
P11309,0
P11387,0
P11473,0
P11686,0
P11912,0
P11926,0
P11940,1
P12081,0
P12272,0
P12931,0
P12956,0
P13010,0
P13051,0
P13569,0
P13647,0
P13674,0
P13693,0
P13797,0
P13861,0
P14061,0
P14598,1
P14635,0
P14653,0
P14678,0
P14859,0
P14867,0
P14868,0
P14921,0
P15056,0
P15309,1
P15311,0
P15374,0
P15382,0
P15391,0
P15498,0
P15516,1
P15848,0
P15927,0
P15941,0
P16035,0
P16050,0
P16070,0
P16220,1
P16278,0
P16333,0
P16442,0
P16471,0
P16860,0
P17096,1
P17181,0
P17405,0
P17480,0
P17677,0
P17706,0
P17931,0
P17947,0
P18065,0
P18075,0
P18206,1
P18507,0
P18564,0
P18615,0
P18827,0
P18848,0
P19429,0
P19525,0
P19634,1
P19793,0
P19827,0
P19957,0
P20020,0
P20061,0
P20340,0
P20591,0
P20592,0
P20807,0
P20810,0
P20823,0
P20849,0
P20963,0
P21246,0
P21333,0
P21397,0
P21579,0
P21580,1
P21583,0
P21675,0
P21815,0
P22033,0
P22059,1
P22234,0
P22531,0
P22626,0
P23025,0
P23280,0
P23443,0
P23588,0
P23677,0
P23771,0
P24071,0
P24385,0
P24522,0
P24588,0
P24864,0
P24928,0
P25024,1
P25054,1
P25490,0
P25963,0
P26196,0
P26368,0
P26447,0
P26599,0
P27361,0
P27469,0
P27635,0
P27694,0
P27695,0
P27708,0
P27797,0
P27986,0
P28300,0
P28324,0
P28325,0
P28360,0
P28472,0
P28482,0
P28698,0
P28749,0
P28827,0
P29083,1
P29274,0
P29317,0
P29353,0
P29372,1
P29375,0
P29536,0
P29590,0
P30038,0
P30260,0
P30273,0
P30281,0
P30291,0
P30307,1
P30518,0
P30519,0
P30531,0
P30542,0
P30566,0
P30793,0
P31153,1
P31321,0
P31327,1
P31431,0
P31749,0
P31751,0
P32004,0
P33316,0
P33763,0
P33897,0
P34741,0
P35052,0
P35219,0
P35222,1
P35236,1
P35269,0
P35475,0
P35520,0
P35568,0
P35611,0
P35612,0
P35637,1
P35638,0
P35680,0
P35790,0
P35813,0
P35869,0
P35916,0
P36578,0
P36776,0
P36871,0
P36888,0
P36894,1
P36952,0
P36955,0
P37173,1
P37231,1
P37268,0
P37837,0
P37840,1
P38398,0
P38919,0
P38936,1
P39748,0
P39905,0
P40205,0
P40259,0
P40337,0
P40692,0
P40763,0
P40818,0
P40855,0
P40939,0
P41208,0
P41214,0
P41227,0
P41236,1
P41567,0
P41743,0
P42166,0
P42224,1
P42226,1
P42345,0
P42568,1
P42574,0
P42658,0
P42768,1
P42858,0
P42898,0
P43026,0
P43034,0
P43250,0
P43351,0
P43403,0
P43629,0
P45379,0
P45973,0
P45985,1
P46108,0
P46379,1
P46527,1
P46531,0
P46937,0
P47710,0
P47813,0
P47895,0
P47897,0
P47992,0
P48443,0
P48539,0
P48740,0
P48788,0
P49005,0
P49023,0
P49189,0
P49257,1
P49327,0
P49354,0
P49366,0
P49419,0
P49427,0
P49736,1
P49748,0
P49753,0
P49757,0
P49758,0
P49765,1
P49768,0
P49789,0
P49790,0
P49802,0
P49815,0
P49841,1
P49848,0
P49902,1
P49913,1
P49915,0
P49918,0
P50148,0
P50402,0
P50440,0
P50542,1
P50553,0
P50579,0
P50616,0
P50750,1
P51397,0
P51449,0
P51513,0
P51587,0
P51608,1
P51617,0
P51671,0
P51787,0
P51788,1
P51825,0
P51946,0
P51965,0
P52179,0
P52272,1
P52298,0
P52306,0
P52564,0
P52597,0
P52630,1
P52732,0
P52799,0
P52848,0
P52926,0
P52945,0
P52948,0
P53350,1
P53355,1
P53420,0
P53778,0
P53779,0
P53816,0
P53999,0
P54132,0
P54252,0
P54274,0
P54368,0
P54577,0
P54578,0
P54687,0
P54725,0
P55011,0
P55036,1
P55042,0
P55072,0
P55145,0
P55197,1
P55210,0
P55211,0
P55263,0
P55265,0
P55285,0
P55735,0
P55789,0
P55957,1
P56211,1
P56524,0
P56696,0
P56962,1
P58004,0
P58753,1
P60006,0
P60484,0
P60604,0
P60709,0
P60880,1
P60896,0
P61073,0
P61244,0
P61328,0
P61587,0
P61925,0
P61956,0
P62318,0
P62328,1
P62330,1
P62495,0
P62805,0
P62826,0
P62877,1
P63000,0
P63027,1
P63098,0
P63104,0
P63165,0
P63241,0
P68363,0
P68431,0
P78330,0
P78352,0
P78356,0
P78362,0
P78504,0
P78560,0
P78563,1
P80192,0
P80303,1
P80723,0
P81274,0
P81605,1
P83110,0
P83731,0
P83916,0
P84022,0
P84243,0
P98066,0
P98170,0
P98177,0
Q00169,0
Q00266,0
Q00534,0
Q00653,0
Q00987,0
Q01081,1
Q01094,1
Q01101,1
Q01105,0
Q01433,0
Q01484,0
Q01831,1
Q01968,0
Q01970,0
Q02078,0
Q02297,0
Q02363,0
Q02388,0
Q02413,0
Q02548,1
Q03164,0
Q03518,0
Q03519,0
Q03692,0
Q04206,0
Q04637,1
Q04656,0
Q05193,0
Q05397,0
Q06141,0
Q06609,0
Q06710,0
Q06787,1
Q07108,0
Q07157,0
Q07666,0
Q07812,1
Q07817,0
Q07820,0
Q07866,0
Q07889,0
Q07912,0
Q07955,1
Q08050,0
Q08188,0
Q08209,1
Q09161,0
Q09428,0
Q09472,1
Q0JRZ9,0
Q10567,0
Q10589,0
Q12778,0
Q12834,0
Q12888,0
Q12905,0
Q12962,0
Q12972,0
Q12983,0
Q13029,0
Q13042,0
Q13043,0
Q13137,0
Q13148,1
Q13153,0
Q13162,0
Q13164,0
Q13177,1
Q13188,0
Q13224,0
Q13316,0
Q13351,1
Q13363,0
Q13415,0
Q13426,0
Q13451,0
Q13464,0
Q13469,0
Q13480,0
Q13485,0
Q13501,0
Q13526,0
Q13541,1
Q13542,1
Q13546,1
Q13547,0
Q13563,0
Q13568,0
Q13569,1
Q13573,1
Q13586,0
Q13613,0
Q13617,0
Q13625,0
Q13627,0
Q13635,0
Q13698,0
Q13740,0
Q13838,0
Q14011,0
Q14019,0
Q14061,1
Q14118,0
Q14181,0
Q14191,0
Q14194,0
Q14258,0
Q14318,0
Q14444,0
Q14449,1
Q14457,1
Q14493,0
Q14565,0
Q14653,0
Q14691,0
Q14722,0
Q14766,0
Q14849,0
Q14978,0
Q14995,0
Q15004,0
Q15013,0
Q15022,1
Q15046,1
Q15059,0
Q15109,0
Q15113,0
Q15185,0
Q15233,0
Q15276,0
Q15326,0
Q15382,1
Q15418,0
Q15517,0
Q15542,0
Q15582,0
Q15583,0
Q15596,0
Q15631,0
Q15637,0
Q15642,0
Q15691,0
Q15717,0
Q15726,0
Q15796,1
Q15797,0
Q15843,1
Q15858,0
Q15910,1
Q16143,0
Q16186,0
Q16222,0
Q16236,0
Q16543,0
Q16576,0
Q16595,0
Q16611,1
Q16620,0
Q16625,0
Q16629,0
Q16630,0
Q16647,0
Q16665,1
Q16667,0
Q16740,0
Q16790,0
Q16821,0
Q16831,0
Q17RS7,0
Q29983,0
Q2KHT3,0
Q2M1P5,0
Q2MKA7,1
Q2TAZ0,0
Q3MIT2,0
Q3SYG4,0
Q49AN0,1
Q4LE39,0
Q53FT3,0
Q53GG5,1
Q53TN4,0
Q58F21,0
Q5D1E8,0
Q5FWF5,0
Q5HYA8,0
Q5JRX3,0
Q5SQI0,0
Q5SWA1,0
Q5T1C6,0
Q5T4W7,0
Q5T848,1
Q5TDH0,0
Q5U651,0
Q5VZK9,0
Q658P3,0
Q676U5,0
Q68D10,0
Q68DK7,0
Q68J44,0
Q6BDI9,0
Q6DD88,0
Q6FI81,0
Q6GQQ9,0
Q6NUK1,1
Q6P1M3,0
Q6P1X5,0
Q6P3W2,0
Q6P4R8,0
Q6P5W5,0
Q6PHW0,1
Q6PI48,0
Q6R327,0
Q6V1X1,1
Q6VMQ6,0
Q6ZMT4,0
Q6ZNA4,0
Q6ZT98,0
Q6ZVN8,0
Q71UI9,0
Q76LA1,0
Q7KZF4,0
Q7KZI7,1
Q7L2J0,1
Q7RTN6,0
Q7RTP6,0
Q7Z3C6,0
Q86TV6,0
Q86UE8,0
Q86UX7,0
Q86VN1,0
Q86VY4,0
Q86WV6,0
Q86WX3,0
Q86XI6,0
