acc,cluster
Q8WZ42,0
O14686,1
O95714,2
Q03164,3
A0A5F9ZHA1,4
Q01484,4
Q96T58,5
P51587,6
P42858,7
O75962,8
Q9NR48,9
P08572,10
P53420,10
Q02388,10
Q03692,10
P25054,11
P04275,12
O95071,13
P01266,14
Q9UQ35,15
P21333,16
P46531,17
P42345,18
Q8TEP8,19
P49327,20
Q09472,21
Q92793,21
P02549,22
A5YKK6,23
Q8NG31,24
O14497,25
Q8WYP5,26
P27708,27
P31327,27
O75970,28
Q15858,29
Q99250,29
Q7RTP6,30
Q12888,31
P24928,32
Q9H1A4,33
Q2TAZ0,34
Q9HCJ0,35
Q9UPY3,36
Q9UIF9,37
Q9UIW2,38
P21675,39
Q9H2Y7,40
Q13698,41
P38398,42
Q8IZD2,43
Q9Y6D6,44
Q92608,45
P52948,46
P49815,47
Q07157,48
Q14766,49
Q13029,50
O94986,51
Q6R327,52
P29375,53
Q9UGL1,53
P52179,54
Q8IWJ2,55
O15054,56
Q04637,57
Q8TDY2,58
O60706,59
Q09428,59
P10071,60
O60486,61
Q8TEK3,62
Q96F81,63
P07814,64
Q8TEQ6,65
Q9Y4B6,66
Q04656,67
Q9UMD9,68
Q96QZ7,69
P50750,70
Q9NYV4,70
Q13224,71
P13569,72
P49790,73
A8K2U0,74
P01023,74
Q9C000,75
Q15596,76
P28827,77
Q13635,78
Q14191,79
P53355,80
O95405,81
Q9Y6Q9,82
P54132,83
Q86YV5,84
O15550,85
P08581,86
Q96MS0,87
Q9NRR4,88
Q5VZK9,89
Q9ULK4,90
O96028,91
P35916,92
O60885,93
Q15059,93
Q13464,94
Q2M1P5,95
Q9HC77,96
Q07889,97
Q4LE39,98
O75533,99
O95155,100
Q6P4R8,101
Q9C0C7,102
Q9BX66,103
O15118,104
Q9HAU5,105
P11274,106
Q6VMQ6,107
Q8WVM7,108
P32004,109
P00533,110
P04626,110
P15941,111
O14727,112
O94885,113
P35568,114
Q01970,115
O00411,116
P55265,117
P20020,118
P78504,119
Q5T848,120
P55011,121
P51825,122
Q9HAV4,123
Q6P1X5,124
Q9NQC3,125
Q92574,126
Q9Y613,127
Q9UHB7,128
Q8WUM0,129
Q92540,130
P18206,131
O14746,132
P46379,133
O95835,134
P00519,135
Q92900,136
Q13625,137
Q16821,138
P40818,139
P80192,140
Q93009,141
O14776,142
O00410,143
O75151,144
Q96PY5,145
O00268,146
P56524,147
Q9Y4D1,148
P28749,149
P55197,150
Q9UPP1,151
O95696,152
P52732,153
Q2KHT3,154
Q05397,155
O60566,156
Q96NW4,157
Q02413,158
P06756,159
Q8IVG9,159
O15294,160
Q9Y4F1,161
P08514,162
Q07912,163
Q5JRX3,164
Q8IYT8,165
O95197,166
Q9Y6X9,167
O14974,168
Q9H4L7,169
Q6P1M3,170
Q9UPR3,171
Q9Y6C2,172
Q9BVI0,173
O43236,174
Q5HYA8,175
Q6ZNA4,176
P36888,177
P08235,178
Q9HC35,179
P10721,180
P29317,181
Q96PU5,182
Q13563,183
O94829,184
Q5U651,185
Q9Y5B0,186
P36776,187
Q86Y38,188
Q8IY63,189
Q9NQC7,190
Q9Y239,191
Q10567,192
Q58F21,193
O95644,194
Q13469,194
Q6ZMT4,195
Q01831,196
P06401,197
Q9UNA0,198
Q8N3V7,199
P06400,200
O14936,201
P20849,202
P10275,203
Q9NQS7,204
O60502,205
P07196,206
P07197,206
P08670,206
P22059,207
Q969R2,207
Q9Y6K1,208
P02730,209
P19827,210
Q7KZF4,211
Q17RS7,212
Q8WXE9,213
P49736,214
