acc,region_id,start,end,region_length,overlap_fraction,d2o_label,n_regions_in_protein,cluster
P49913,DP00004r001,134,170,37,1.0,1,1,1050
P63027,DP00069r006,40,67,28,1.0,1,1,1118
Q14722,DP00090r001,1,62,62,0.0,0,1,692
P50440,DP00099r001,38,63,26,0.0,0,1,685
O95405,DP00141r005,766,823,58,0.0,0,1,81
P01112,DP00153r021,170,189,20,0.0,0,1,995
O75324,DP00162r001,34,60,27,0.0,0,1,1153
Q9NVS9,DP00168r001,1,48,48,0.0,0,1,909
P11473,DP00184r007,165,215,51,0.0,0,1,665
Q14449,DP00230r001,361,435,75,1.0,1,1,510
Q04656,DP00282r001,1125,1176,52,0.0,0,1,67
P10415,DP00297r001,26,48,23,0.0,0,1,933
Q07108,DP00306r003,64,84,21,0.0,0,1,1008
P06132,DP00308r001,1,10,10,0.0,0,1,773
P24071,DP00311r001,217,229,13,0.0,0,1,873
O15350,DP00319r002,549,564,16,0.0,0,1,408
P11309,DP00322r001,14,31,18,0.0,0,1,839
P16442,DP00339r001,179,194,16,0.0,0,1,789
Q15185,DP00358r001,123,160,38,0.0,0,1,1064
Q15382,DP00364r005,171,181,11,1.0,1,1,1029
P43351,DP00437r001,1,23,23,0.0,0,1,696
Q14191,DP00443r013,1064,1092,29,0.0,0,1,79
Q9Y3D6,DP00457r002,121,145,25,0.0,0,1,1070
P04156,DP00466r003,23,124,102,1.0,1,1,914
P30273,DP00509r001,40,60,21,0.0,0,1,1154
Q9C000,DP00554r001,31,50,20,0.0,0,1,75
Q16143,DP00555r001,1,134,134,0.0,0,1,1086
Q9Y296,DP00562r002,11,25,15,0.0,0,1,969
P09132,DP00570r001,1,144,144,0.0,0,1,1080
P30291,DP00611r004,436,455,20,0.0,0,1,398
P15309,DP00628r001,248,286,39,1.0,1,1,748
P51671,DP00641r001,1,31,31,0.0,0,1,1149
Q99801,DP00683r003,1,113,113,0.0,0,1,946
Q9Y258,DP00696r002,84,94,11,0.0,0,1,1150
Q15517,DP00706r001,60,171,112,0.0,0,1,521
P02545,DP00716r002,567,664,98,0.0,0,1,382
Q9BSY4,DP00757r001,94,109,16,0.0,0,1,1129
O00585,DP00765r002,94,134,41,0.0,0,1,1093
O14733,DP00841r001,30,100,71,0.0,0,1,691
Q9H981,DP00873r001,401,507,107,0.0,0,1,416
O75496,DP00901r001,70,91,22,0.0,0,1,987
Q9HB71,DP00907r001,48,80,33,1.0,1,1,956
P41567,DP00910r001,1,28,28,0.0,0,1,1123
Q8N4Q1,DP00912r001,107,142,36,0.0,0,1,1084
Q01101,DP01023r001,1,20,20,1.0,1,1,552
P27708,DP01024r009,1822,1846,25,0.0,0,1,27
Q76LA1,DP01054r001,1,67,67,0.0,0,1,1147
Q9UBB5,DP01068r001,238,356,119,0.0,0,1,714
P46531,DP01104r001,1758,1888,131,0.0,0,1,17
P22626,DP01109r001,190,341,152,0.0,0,1,770
Q9UHD9,DP01110r003,450,576,127,0.0,0,1,417
P16333,DP01114r003,59,108,50,0.0,0,1,762
