acc,region_id,start,end,region_length,overlap_fraction,d2o_label,n_regions_in_protein,cluster
P49913,DP00004r001,134,170,37,1.0,1,1,1050
P27695,DP00007r002,1,42,42,0.0,0,4,828
P27695,DP00007r006,1,36,36,0.0,0,4,828
P27695,DP00007r007,32,43,12,0.0,0,4,828
P27695,DP00007r008,2,40,39,0.0,0,4,828
P0DMM9,DP00011r004,64,77,14,0.0,0,2,864
P0DMM9,DP00011r006,216,261,46,0.0,0,2,864
P13569,DP00012r005,708,831,124,0.0,0,3,72
P13569,DP00012r007,654,838,185,0.0,0,3,72
P13569,DP00012r010,708,831,124,0.0,0,3,72
P0DN86,DP00013r001,132,165,34,0.0,0,3,1055
P0DN86,DP00013r002,132,165,34,0.0,0,3,1055
P0DN86,DP00013r004,133,165,33,0.0,0,3,1055
P38936,DP00016r001,1,164,164,0.4634146341463415,0,6,1058
P38936,DP00016r002,1,164,164,0.4634146341463415,0,6,1058
P38936,DP00016r005,1,164,164,0.4634146341463415,0,6,1058
P38936,DP00016r006,1,94,94,0.8085106382978723,1,6,1058
P38936,DP00016r012,9,84,76,1.0,1,6,1058
P38936,DP00016r013,1,94,94,0.8085106382978723,1,6,1058
P49918,DP00017r001,1,316,316,0.0,0,6,834
P49918,DP00017r004,1,316,316,0.0,0,6,834
P49918,DP00017r007,1,316,316,0.0,0,6,834
P49918,DP00017r010,27,97,71,0.0,0,6,834
P49918,DP00017r013,27,97,71,0.0,0,6,834
P49918,DP00017r016,27,97,71,0.0,0,6,834
P46527,DP00018r008,105,198,94,0.10638297872340426,0,13,1013
P46527,DP00018r011,1,198,198,0.3484848484848485,0,13,1013
P46527,DP00018r020,1,50,50,0.52,1,13,1013
P46527,DP00018r021,97,197,101,0.09900990099009901,0,13,1013
P46527,DP00018r022,22,97,76,0.9078947368421053,1,13,1013
P46527,DP00018r023,22,97,76,0.9078947368421053,1,13,1013
P46527,DP00018r036,22,105,84,0.8214285714285714,1,13,1013
P46527,DP00018r037,1,198,198,0.3484848484848485,0,13,1013
P46527,DP00018r046,22,105,84,0.8214285714285714,1,13,1013
P46527,DP00018r048,22,97,76,0.9078947368421053,1,13,1013
P46527,DP00018r049,22,97,76,0.9078947368421053,1,13,1013
P46527,DP00018r054,58,105,48,0.75,1,13,1013
P46527,DP00018r055,58,105,48,0.75,1,13,1013
P14061,DP00023r005,286,328,43,0.0,0,2,818
P14061,DP00023r008,286,328,43,0.0,0,2,818
Q13541,DP00028r007,4,118,115,0.14782608695652175,0,5,1114
Q13541,DP00028r016,5,118,114,0.14912280701754385,0,5,1114
Q13541,DP00028r017,1,118,118,0.1440677966101695,0,5,1114
